ID	species
ERR5056108	"African"
ERR5056111	"African"
Leopards_1	"Arabian"
Leopards_2	"Arabian"
ghana_african_leopard_7547	"African"
indian_leopard2	"Asian"
leopard_afganistan	"Asian"
leopard_cameroon	"African"
leopard_etiopia	"African"
leopard_java	"Asian"
leopard_korea	"Asian"
leopard_morocco	"African"
leopard_nepal	"Asian"
leopard_palestine	"Asian"
leopard_southafrica	"African"
leopard_srilanka	"Asian"
leopard_vietnam	"Asian"
namibia_african_leopard_7942	"African"
panthera_pardus_japonensis	"Asian"
panthera_pardus_orientalis	"Asian"
